"","atg5","cat","kmet1","mgv1","mst20","DCF-DA","MDC"
"1",1.720338,3.095922,0.4493397,1.039585,0.926856,4.444444,5.714286
"2",2.457835,2.967826,2.160376,1.314681,1.140419,1.318182,3.590909
"3",4.774577,2.123571,4.391664,0.2308609,0.8759891,1.375,2.291667
"4",2.320985,1.72371,5.104826,0.9336707,0.7652931,1.875,7.166667
"5",1.5648276,5.0326554,14.97767,0.0277718,2.950413,6.666667,2.88
"6",3.1646594,3.0842789,10.668878,0.006141,1.3775501,1.555556,3.333333
